date,zone,generated_mt,day_of_week,month,is_weekend,is_festival,festival_name,zone_type,pop_proxy
2015-04-01,Adayar,1.669,2,4,0,0,,residential,13
2015-04-02,Adayar,1.828,3,4,0,0,,residential,13
2015-04-03,Adayar,1.772,4,4,0,0,,residential,13
2015-04-04,Adayar,1.892,5,4,1,0,,residential,13
2015-04-05,Adayar,1.855,6,4,1,0,,residential,13
2015-04-06,Adayar,1.88,0,4,0,0,,residential,13
2015-04-07,Adayar,1.677,1,4,0,0,,residential,13
2015-04-08,Adayar,1.852,2,4,0,0,,residential,13
2015-04-09,Adayar,1.703,3,4,0,0,,residential,13
2015-04-10,Adayar,1.824,4,4,0,0,,residential,13
2015-04-11,Adayar,1.898,5,4,1,0,,residential,13
2015-04-12,Adayar,1.999,6,4,1,0,,residential,13
2015-04-13,Adayar,2.004,0,4,0,1,Tamil New Year,residential,13
2015-04-14,Adayar,2.17,1,4,0,1,Tamil New Year,residential,13
2015-04-15,Adayar,1.999,2,4,0,1,Tamil New Year,residential,13
2015-04-16,Adayar,1.769,3,4,0,0,,residential,13
2015-04-17,Adayar,1.792,4,4,0,0,,residential,13
2015-04-18,Adayar,1.88,5,4,1,0,,residential,13
2015-04-19,Adayar,1.913,6,4,1,0,,residential,13
2015-04-20,Adayar,2.079,0,4,0,1,Eid,residential,13
2015-04-21,Adayar,2.038,1,4,0,1,Eid,residential,13
2015-04-22,Adayar,1.941,2,4,0,1,Eid,residential,13
2015-04-23,Adayar,1.723,3,4,0,0,,residential,13
2015-04-24,Adayar,1.745,4,4,0,0,,residential,13
2015-04-25,Adayar,1.913,5,4,1,0,,residential,13
2015-04-26,Adayar,1.863,6,4,1,0,,residential,13
2015-04-27,Adayar,1.807,0,4,0,0,,residential,13
2015-04-28,Adayar,1.742,1,4,0,0,,residential,13
2015-04-29,Adayar,1.729,2,4,0,0,,residential,13
2015-04-30,Adayar,1.817,3,4,0,0,,residential,13
2015-05-01,Adayar,1.787,4,5,0,0,,residential,13
2015-05-02,Adayar,1.925,5,5,1,0,,residential,13
2015-05-03,Adayar,1.864,6,5,1,0,,residential,13
2015-05-04,Adayar,1.776,0,5,0,0,,residential,13
2015-05-05,Adayar,1.837,1,5,0,0,,residential,13
2015-05-06,Adayar,1.682,2,5,0,0,,residential,13
2015-05-07,Adayar,1.741,3,5,0,0,,residential,13
2015-05-08,Adayar,1.753,4,5,0,0,,residential,13
2015-05-09,Adayar,1.89,5,5,1,0,,residential,13
2015-05-10,Adayar,1.851,6,5,1,0,,residential,13
2015-05-11,Adayar,1.779,0,5,0,0,,residential,13
2015-05-12,Adayar,1.706,1,5,0,0,,residential,13
2015-05-13,Adayar,1.698,2,5,0,0,,residential,13
2015-05-14,Adayar,1.804,3,5,0,0,,residential,13
2015-05-15,Adayar,1.734,4,5,0,0,,residential,13
2015-05-16,Adayar,1.878,5,5,1,0,,residential,13
2015-05-17,Adayar,1.914,6,5,1,0,,residential,13
2015-05-18,Adayar,1.858,0,5,0,0,,residential,13
2015-05-19,Adayar,1.717,1,5,0,0,,residential,13
2015-05-20,Adayar,1.782,2,5,0,0,,residential,13
2015-05-21,Adayar,1.669,3,5,0,0,,residential,13
2015-05-22,Adayar,1.796,4,5,0,0,,residential,13
2015-05-23,Adayar,1.908,5,5,1,0,,residential,13
2015-05-24,Adayar,1.905,6,5,1,0,,residential,13
2015-05-25,Adayar,1.784,0,5,0,0,,residential,13
2015-05-26,Adayar,1.671,1,5,0,0,,residential,13
2015-05-27,Adayar,1.648,2,5,0,0,,residential,13
2015-05-28,Adayar,1.695,3,5,0,0,,residential,13
2015-05-29,Adayar,1.765,4,5,0,0,,residential,13
2015-05-30,Adayar,1.853,5,5,1,0,,residential,13
2015-05-31,Adayar,1.819,6,5,1,0,,residential,13
2015-06-01,Adayar,1.603,0,6,0,0,,residential,13
2015-06-02,Adayar,1.551,1,6,0,0,,residential,13
2015-06-03,Adayar,1.553,2,6,0,0,,residential,13
2015-06-04,Adayar,1.563,3,6,0,0,,residential,13
2015-06-05,Adayar,1.618,4,6,0,0,,residential,13
2015-06-06,Adayar,1.791,5,6,1,0,,residential,13
2015-06-07,Adayar,1.83,6,6,1,0,,residential,13
2015-06-08,Adayar,1.568,0,6,0,0,,residential,13
2015-06-09,Adayar,1.529,1,6,0,0,,residential,13
2015-06-10,Adayar,1.602,2,6,0,0,,residential,13
2015-06-11,Adayar,1.548,3,6,0,0,,residential,13
2015-06-12,Adayar,1.61,4,6,0,0,,residential,13
2015-06-13,Adayar,1.737,5,6,1,0,,residential,13
2015-06-14,Adayar,1.808,6,6,1,0,,residential,13
2015-06-15,Adayar,1.699,0,6,0,0,,residential,13
2015-06-16,Adayar,1.619,1,6,0,0,,residential,13
2015-06-17,Adayar,1.55,2,6,0,0,,residential,13
2015-06-18,Adayar,1.565,3,6,0,0,,residential,13
2015-06-19,Adayar,1.555,4,6,0,0,,residential,13
2015-06-20,Adayar,1.648,5,6,1,0,,residential,13
2015-06-21,Adayar,1.803,6,6,1,0,,residential,13
2015-06-22,Adayar,1.685,0,6,0,0,,residential,13
2015-06-23,Adayar,1.553,1,6,0,0,,residential,13
2015-06-24,Adayar,1.631,2,6,0,0,,residential,13
2015-06-25,Adayar,1.54,3,6,0,0,,residential,13
2015-06-26,Adayar,1.483,4,6,0,0,,residential,13
