City Name,Zone Name,Ward Name,Ward No.,Total quantum of MSW generated in the city (in Metric tonnes) - 2015-16,Total quantum of MSW generated in the city (in Metric tonnes) - 2016-17,Total quantum of MSW generated in the city (in Metric tonnes) - 2017-18,Total quantum of MSW collected by the ULB or private operator (in Metric tonnes) - 2015-16,Total quantum of MSW collected by the ULB or private operator (in Metric tonnes) - 2016-17,Total quantum of MSW collected by the ULB or private operator (in Metric tonnes) - 2017-18,Average quantum of MSW that is processed or recycled (in Metric tonnes) - 2015-16,Average quantum of MSW that is processed or recycled (in Metric tonnes) - 2016-17,Average quantum of MSW that is processed or recycled (in Metric tonnes) - 2017-18
Chennai,Thiruvotriyur,NA,1 to 14,210,176,147,210,176,147,NA,NA,20998
Chennai,Manali,NA,15 to 21,64,49,30,64,49,30,NA,NA,33920
Chennai,Madavaram,NA,22 to 33,111,1111,96,111,1111,96,NA,NA,28865
Chennai,Thondiyarpet,NA,39 to 48,402,405,405,402,405,405,NA,NA,28231
Chennai,Royapuram,NA,49 to 63,467,442,464,467,442,464,NA,NA,18754
Chennai,Thiru Vi Ka Nagar,NA,64 to 78,352,322,348,352,322,348,NA,NA,27383
Chennai,Ambattur,NA,79 to 93,381,360,348,381,360,348,NA,NA,40347
Chennai,Anna Nagar,NA,94 to 107,449,445,458,449,445,458,NA,NA,30100
Chennai,Teynampet,NA,109 to 126,659,674,644,659,674,644,NA,NA,27366
Chennai,Kodambakkam,NA,127 to 142,645,674,632,645,674,632,NA,NA,25475
Chennai,Valasaravakkam,NA,143 to 155,250,226,168,250,226,168,NA,NA,36088
Chennai,Alandur,NA,156 to 167,205,189,178,205,189,178,NA,NA,27228
Chennai,Adayar,NA,170 to 182,603,637,660,603,637,660,NA,NA,28969
Chennai,Perungudi,NA,"168 to 169
183 to 191",263,258,277,263,258,277,NA,NA,29049
Chennai,Sholinganalur,NA,192 to 200,188,214,214,188,214,214,NA,NA,22070
